favorite_count,created_at,coordinates,contributors,lng,lat,place_country,place_full_name,place_place_type,user_favourites_count,user_name,user_description,user_location,user_verified,user_followers_count,user_url,user_geo_enabled,user_friends_count,user_id,user_lang,user_time_zone,user_created_at,user_profile_image_url,text,source,sentiment
0, Tue Mar 21 20:27:17 +0000 2017,0,0,-122.514926,37.708075, United States," San Francisco, CA", city,614, Matthew Tarr," ""Digital Architect @amnh, @MuseumCN board, dad, aging skater... i make things that don't last... Internets"""," iPhone: 40.773972,-73.955215", False,550, None, True,347,1424891, en, Eastern Time (US & Canada), Sun Mar 18 16:39:21 +0000 2007, http://pbs.twimg.com/profile_images/652856129463185412/n-eA3Ptb.jpg," ""Voice ux fail... ""that is not my dog"" #cooperativePrinciple  #OReillyDesign"""," <a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",negative
0, Tue Mar 21 22:20:47 +0000 2017,0,0,-115.209254,35.984784, United States," Paradise, NV", city,192, Dave Schneider," ""Chief Marketing Officer @RedWingShoes. Build brand, drive demand. #MarTech as enabler. Food, travel & #LetsGo Cubs lover! Logan + Ellia's dad. Tweets all mine."""," Minneapolis, MN", False,1607, http://www.linkedin.com/in/daveschneider, True,2092,8117652, en, Central Time (US & Canada), Sat Aug 11 03:20:57 +0000 2007, http://pbs.twimg.com/profile_images/2813229680/973838a06c59ac60b364b76eac9fbe9c.png," ""#shoptalk17 Customer obsession leads to UX as a defining characteristic of the brand, start-ups get this ala Warby"""," <a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",negative
0, Tue Mar 21 23:15:05 +0000 2017,0,0,-114.316038,50.84278, Canada," Calgary, Alberta", city,2297, Clarissa Peterson," ""UX designer, web developer, writer, speaker, and teacher. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. #BlackLivesMatter"""," Calgary, Alberta, Canada", False,2075, http://www.clarissapeterson.com, True,230,13524, en, Eastern Time (US & Canada), Tue Nov 21 14:46:24 +0000 2006, http://pbs.twimg.com/profile_images/726956451642531840/NbqxGQfq.jpg," ""How could it not occur to anyone that naming two malls a couple miles apart Northland and North Hill might be confusing? #ux"""," <a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",negative
0, Wed Mar 22 00:01:29 +0000 2017,0,0,144.820761,-34.543666, Australia," Hay, New South Wales", city,2242, Mark Payne," ""Artist|Designer all about Art/Science Rights/Equality & pushing the queer agenda http://theghostsofstrangers.com ‰Û¢ http://virtualdrag.net/ ‰Û¢ http://queertech.io"""," Melbourne, Victoria, Australia", False,1056, http://mimobase.com, True,1508,15051598, en, Melbourne, Mon Jun 09 00:02:47 +0000 2008, http://pbs.twimg.com/profile_images/829178424925188096/nMB_R5or.jpg," ""designers/UX ppl who design/code for massive screens with no regard for the small vertical footprint of laptops shit me to tears"""," <a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",negative
0, Wed Mar 22 00:35:39 +0000 2017,0,0,-2.319934,53.343623, United Kingdom," Manchester, England", city,3755, Sophie Ashcroft," ""Digital media management @ #hyperislanduk researching how Design Thinking can positively affect AI development.""", England - North West, False,1135, None, True,1873,15828576, en, International Date Line West, Tue Aug 12 21:35:57 +0000 2008, http://pbs.twimg.com/profile_images/807621032727154688/xFmFlEch.jpg," ""Crackin' myself up _Ù÷â. My new UX tool to help perform a premortem on an AI system 'I told you AI was sick'"""," <a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",negative
0, Wed Mar 22 00:56:49 +0000 2017," {u'type': u'Point', u'coordinates': [103.40226983, 4.71071796]}",0,103.378418,4.694352, Malaysia," Sura, Terengganu", city,5366, syimin_Ù_ã," ""tudung & makanan tu bae ‰ù_•üè_ÙÕ¥_ÙÕÏ""", None, False,930, None, True,152,325371155, en, Kuala Lumpur, Tue Jun 28 05:32:53 +0000 2011, http://pbs.twimg.com/profile_images/843423963166400512/0iDFRyMB.jpg," ""Go green_ÙèÄ_ÙèÈ‰Ûç‰ªÛ•üè colour run_ÙÎö #KakiBagiSama #KananKeKiri @ Politeknik‰Û_ https://t.co/S2W4YUQi2m"""," <a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",negative
0, Wed Mar 22 19:27:57 +0000 2017,0,0,2.052477,41.317048, EspaÌ±a," Barcelona, EspaÌ±a", city,2415, MarÌ_a P. Arrilucea," ""UX Designer & Researcher - Profe de UX en @bau_bcn - Donostiarra barcelonesa""", Barcelona, False,640, http://www.mariaperezdearrilucea.com, True,685,7376132, es, Madrid, Tue Jul 10 16:10:41 +0000 2007, http://pbs.twimg.com/profile_images/786471704939864064/pQHoUd21.jpg," ""Active testing! en clase ux del master en #webdesign de @bau_bcn y @runroom / con @moresimplicis https://t.co/4l17XlVKrd"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",negative
0, Wed Mar 22 19:44:46 +0000 2017,0,0,-122.436232,47.495315, United States," Seattle, WA", city,487, Carmen D'Arcangelo," ""#Essayist. #Coaching Junkie. Love Buff. #binders"""," Seattle, WA", False,165, http://carmendarcangelo.com/, True,293,7.90E+17, en, None, Fri Oct 21 23:53:25 +0000 2016, http://pbs.twimg.com/profile_images/796090788379664384/l3QWfaKC.jpg," ""@DMMJill - ""In the empty spaces we grow into our future"" #Inspiration #design https://t.co/mtvk2Z3nWB"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",negative
0, Wed Mar 22 19:54:32 +0000 2017,0,0,-74.026675,40.683935, United States," Manhattan, NY", city,2117, Wyatt Anderson," ""Siberian mango baron.""", New York City, False,309, http://wya.tt, True,390,14480021, en, Eastern Time (US & Canada), Tue Apr 22 20:35:04 +0000 2008, http://pbs.twimg.com/profile_images/780806747447582724/oIJ3OPua.jpg," ""@jaredbaldridge we run hipchat internally, but it's the UX that I think that sucks"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",negative
0, Wed Mar 22 19:57:45 +0000 2017,0,0,-122.249343,37.812297, United States," Piedmont, CA", city,222, Duc," ""UX Designer, Previously Head of Design at SmugMug, Designer at NVIDIA / Leica Photographer""",510, False,193, https://ducle.design, True,330,7523882, en, Pacific Time (US & Canada), Tue Jul 17 04:24:38 +0000 2007, http://pbs.twimg.com/profile_images/839660057826504704/ZS_HLMlq.jpg," ""Having the Remove Download action hidden within the Downloaded button is not good. Obvious always wins. UX @apple‰Û_ https://t.co/wewgbu1G3q"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",negative
