day,created_at,lng,lat,place_country,place_full_name,place_place_type,user_favourites_count,user_name,user_description,user_location,user_verified,user_followers_count,user_url,user_geo_enabled,user_friends_count,user_id,user_lang,user_time_zone,user_created_at,user_profile_image_url,text,source,sentiment,count
Tue Mar 21, Tue Mar 21 19:43:56 2017,-86.785881,34.578426, United States," Huntsville, AL", city,3114, saketvora," ""Hardware @Pearl_Auto. Founding team member.  Proud former Apple iPod, iPhone, Watch hardware engineer. Husband and dog lover."""," Santa Cruz, CA", False,324, http://www.saketvora.com, True,459,14211517, en, Pacific Time (US & Canada), Mon Mar 24 23:12:45 2008, http://pbs.twimg.com/profile_images/745288333035659264/WZQw5Lfx.jpg," ""@vitriolix nooooo. Apps/services need *more* background processing in order to offer more contextually relevant and updated content &amp; UX"""," <a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",positive,1
Tue Mar 21, Tue Mar 21 19:44:54 2017,-122.288439,37.533497, United States," Foster City, CA", city,0, Join Philips," ""Live Job Feed for Philips opportunities. For Philips updates and to connect w/ Philips recruiters, follow @LifeAtPhilips""", Across North America, False,253, http://www.philips.com, True,0,570993750, en, Atlantic Time (Canada), Fri May 04 15:17:23 2012, http://pbs.twimg.com/profile_images/471685445105893376/vxkBcwN8.jpeg," ""We're #hiring! Click to apply: Senior UX Designer - https://t.co/I4QXXU3EZY #FosterCity, CA #Job #Jobs #CareerArc"""," <a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>",neutral,1
Tue Mar 21, Tue Mar 21 19:45:18 2017,-87.940033,41.644102, United States," Chicago, IL", city,10, CSGI Careers," ""CSG International Delivers Business Solutions to the Majority of the Top 100 Global Communications Service Providers Worldwide. We are Hiring!"""," Englewood, Co", False,437, None, True,588,2916751741, en, None, Tue Dec 02 15:23:56 2014, http://pbs.twimg.com/profile_images/560503709742813184/VwSDAHTS.jpeg," ""Want to work at CSG International? We're #hiring in #Chicago, IL! Click for details: https://t.co/ljF6aYlbVI #API #SoftwareJobs #UX #QA"""," <a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",neutral,1
Tue Mar 21, Tue Mar 21 20:03:00 2017,-75.586247,39.108566, United States," Dover, DE", city,821, Nneka..._Î—__ÎÖ__ÎÖ∂," ""Yesterday is not ours to recover, but tomorrow is ours to win or lose.""", DSU19, False,1465, None, True,1642,469225961, en, Atlantic Time (Canada), Fri Jan 20 11:10:32 2012, http://pbs.twimg.com/profile_images/837367249530937346/BXo7D1hh.jpg," ""On to Team 4, last team for the evening #deepday17 #designthinking #DESUAlumni #UX"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",neutral,1
Tue Mar 21, Tue Mar 21 20:27:17 2017,-122.514926,37.708075, United States," San Francisco, CA", city,614, Matthew Tarr," ""Digital Architect @amnh, @MuseumCN board, dad, aging skater... i make things that don't last... Internets"""," iPhone: 40.773972,-73.955215", False,550, None, True,347,1424891, en, Eastern Time (US & Canada), Sun Mar 18 16:39:21 2007, http://pbs.twimg.com/profile_images/652856129463185412/n-eA3Ptb.jpg," ""L\u2019UX Design pour Smartphones est-il un levier d\u2019action strat\xe9gique pour les entreprises ? https://t.co/Ehu2JzSPjY via @Ecom_NationFR"""," <a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",negative,1
Tue Mar 21, Tue Mar 21 20:43:57 2017,-93.207783,44.890752, United States," St Paul, MN", city,9895, amandarama," ""UX designer. Bicyclist. St. Paul proud. Home cook. Former journalist. Future gadfly. Cat mom. Asks lots of questions.""", minnesota, False,707, http://www.amandaewillis.com, True,1037,16216472, en, Central Time (US & Canada), Wed Sep 10 04:02:38 2008, http://pbs.twimg.com/profile_images/792562223025577984/l7C6mmHI.jpg," ""At #uteverydayinsights looking for #UXrs and UX/UI designers to work for my team @thisisborn in NYC. Tweet me if you\u2019re interested."""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",neutral,1
Tue Mar 21, Tue Mar 21 20:44:10 2017,-122.514926,37.708075, United States," San Francisco, CA", city,2226, Colin Johnston," ""Graphic Design & Digital Product Design _ˇÂ User-Centered Design / UX / acronyms _ˇÂ Building useful things that work well and look good."""," San Francisco, CA", False,709, http://colinjohnston.com, True,1280,12926072, en, Pacific Time (US & Canada), Fri Feb 01 01:02:22 2008, http://pbs.twimg.com/profile_images/717766936046600192/q5gs-BqZ.jpg," ""#Ux #website #product #prototype #ui\u2026 https://t.co/C4v1Q6n4HJ"""," <a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",positive,1
Tue Mar 21, Tue Mar 21 20:45:00 2017,-84.576827,33.647503, United States," Atlanta, GA", city,0, Atlanta Web Design," ""Follow this account for geo-targeted Web Design/Development job tweets in Atlanta, GA. Need help? Tweet us at @CareerArc!"""," Atlanta, GA", False,232, http://www.careerarc.com/job-seeker, True,121,459465827, en, Alaska, Mon Jan 09 18:05:10 2012, http://pbs.twimg.com/profile_images/717623470599725056/3abPLeSR.jpg," ""@timminor It does look very impressive, Timbo. Perhaps bring it to Ux Camp for everyone to admire?"""," <a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",positive,1
Tue Mar 21, Tue Mar 21 20:45:24 2017,-87.940033,41.644102, United States," Chicago, IL", city,10, CSGI Careers," ""CSG International Delivers Business Solutions to the Majority of the Top 100 Global Communications Service Providers Worldwide. We are Hiring!"""," Englewood, Co", False,437, None, True,588,2916751741, en, None, Tue Dec 02 15:23:56 2014, http://pbs.twimg.com/profile_images/560503709742813184/VwSDAHTS.jpeg," ""Voice ux fail... ""that is not my dog"" #cooperativePrinciple  #OReillyDesign"""," <a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",positive,1
Tue Mar 21, Tue Mar 21 21:08:10 2017,-76.353876,44.961937, Canada," Ottawa, Ontario", city,2041, Marc Gagnﬁ∏," ""Tech evangelist for @MicrosoftCanada, developer, gadget geek, photographer, coffee addict & traveler""", Ottawa, False,1506, http://www.gotsomething.com, True,969,47375551, en, Eastern Time (US & Canada), Mon Jun 15 16:32:34 2009, http://pbs.twimg.com/profile_images/1207704018/me_small.jpg," ""Juliette join us on #AXSChat happening now. Lot so experience in our community. https://t.co/p8BmNSqVye"""," <a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",neutral,1
